category,address,price
"Appartement 3 pièces 72 m²
Lille 59000 (Faubourg de Béthune)",Lille 59000 (Faubourg de Béthune),159 000 €
"Appartement 5 pièces 111 m²
Lille 59000 (Centre-ville - Euralille)",Lille 59000 (Centre-ville - Euralille),574 000 €
"Appartement 3 pièces 74 m²
Lille 59000 (Centre-ville - Euralille)",Lille 59000 (Centre-ville - Euralille),358 400 €
"Maison 8 pièces 200 m²
Lille 59000 (Wazemmes)",Lille 59000 (Wazemmes),567 300 €
"Appartement 1 pièce 32 m²
Lille 59800 (Centre-ville - Euralille)",Lille 59800 (Centre-ville - Euralille),134 817 €
"Magnolia (appartements neufs 1 à 2 pièces)
Lomme 59160 (Bourg - Délivrance)",Lomme 59160 (Bourg - Délivrance),175 000 à 241 000 €
"Hélène (appartements neufs 1 à 4 pièces)
Hellemmes-Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)",Hellemmes-Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin),125 000 à 283 000 €
"LES JARDINS DE LOMME (appartements neufs 1 à 4 pièces)
Lomme 59160 (Mitterie)",Lomme 59160 (Mitterie),134 000 à 309 000 €
"LES JARDINS DE RONSARD (appartements neufs 2 à 4 pièces)
Lomme 59160 (Bourg - Délivrance)",Lomme 59160 (Bourg - Délivrance),200 000 à 437 000 €
"INTENCITY (appartements neufs 2 à 3 pièces)
Lille 59000 (Moulins)",Lille 59000 (Moulins),208 000 à 259 900 €
"L'INSTITUT (appartements neufs 2 à 4 pièces)
Lille 59000 (Centre-ville - Euralille)",Lille 59000 (Centre-ville - Euralille),235 500 à 410 000 €
"HANGOUART (appartements neufs 3 à 5 pièces)
Lille 59000 (Vieux Lille)",Lille 59000 (Vieux Lille),540 800 à 570 233 €
"Appartement 1 pièce 18 m²
Lille 59000 (Hellemmes - Barrière)",Lille 59000 (Hellemmes - Barrière),100 170 €
"Appartement 2 pièces 38 m²
Lille 59000 (Hellemmes - Barrière)",Lille 59000 (Hellemmes - Barrière),200 550 €
"Appartement 2 pièces 39 m²
Lille 59000 (Moulins)",Lille 59000 (Moulins),207 375 €
"Appartement 2 pièces 40 m²
Lille 59000 (Moulins)",Lille 59000 (Moulins),223 256 €
"Appartement 2 pièces 45 m²
Lille 59000 (Hellemmes - Barrière)",Lille 59000 (Hellemmes - Barrière),231 525 €
"Appartement 2 pièces 46 m²
Lille 59000 (Hellemmes - Barrière)",Lille 59000 (Hellemmes - Barrière),239 242 €
"Appartement 2 pièces 48 m²
Lille 59000 (Hellemmes - Barrière)",Lille 59000 (Hellemmes - Barrière),243 936 €
